Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
C1I_T01_clean_1	C1I_T01_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3520560.0	0.0	15-151	36.0	51.678177771040964	85.27810263139955	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
C1I_T01_clean_2	C1I_T01_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3520560.0	0.0	15-151	36.0	48.344125071832785	88.02762628672711	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1I_T02_clean_1	C1I_T02_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4225807.0	0.0	15-151	36.0	26.311308231739687	100.88893269380263	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C1I_T02_clean_2	C1I_T02_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4225807.0	0.0	15-151	36.0	40.63420656578689	87.94264811431285	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1I_T03_clean_1	C1I_T03_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4022722.0	0.0	15-151	36.0	22.217589399612	100.40459295969247	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
C1I_T03_clean_2	C1I_T03_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4022722.0	0.0	15-151	36.0	37.83666660152866	88.11043964758191	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1I_T04_clean_1	C1I_T04_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3161382.0	0.0	15-151	36.0	33.34333500730055	95.41373234870066	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C1I_T04_clean_2	C1I_T04_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3161382.0	0.0	15-151	36.0	40.63994759864887	89.23807341219758	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1I_T05_clean_1	C1I_T05_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3656133.0	0.0	15-151	36.0	28.108571207697786	100.35429044840546	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C1I_T05_clean_2	C1I_T05_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3656133.0	0.0	15-151	36.0	42.818145288474675	86.76775051673448	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1I_T10_clean_1	C1I_T10_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3333171.0	0.0	15-151	36.0	24.625186348357207	100.88577453721996	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
C1I_T10_clean_2	C1I_T10_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3333171.0	0.0	15-151	36.0	37.06697685829778	91.34444767460175	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1I_T15_clean_1	C1I_T15_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3271011.0	0.0	15-151	36.0	27.017231717156857	99.70712480025288	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C1I_T15_clean_2	C1I_T15_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3271011.0	0.0	15-151	36.0	37.911482005068855	91.6790536626138	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1I_T20_clean_1	C1I_T20_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4592619.0	0.0	15-151	36.0	23.507563727539704	99.65471226766253	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C1I_T20_clean_2	C1I_T20_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4592619.0	0.0	15-151	36.0	35.60363332720229	90.27730626032772	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1M_T01_clean_1	C1M_T01_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2464211.0	0.0	15-151	36.0	43.3688773964331	90.78741390246209	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C1M_T01_clean_2	C1M_T01_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2464211.0	0.0	15-151	36.0	45.34753926320062	89.83222175373781	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1M_T02_clean_1	C1M_T02_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3543585.0	0.0	15-151	36.0	42.14831099716401	96.63503260116521	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C1M_T02_clean_2	C1M_T02_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3543585.0	0.0	15-151	36.0	48.894195936533954	86.97892699060415	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1M_T03_clean_1	C1M_T03_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3646675.0	0.0	15-151	36.0	33.50413587534189	100.06309089787273	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C1M_T03_clean_2	C1M_T03_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3646675.0	0.0	15-151	36.0	43.50402000941063	89.25480471936764	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1M_T04_clean_1	C1M_T04_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2829169.0	0.0	15-151	36.0	43.018190804761204	95.87542879198804	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C1M_T04_clean_2	C1M_T04_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2829169.0	0.0	15-151	36.0	45.51592404441282	91.26611100291287	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1M_T05_clean_1	C1M_T05_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3433983.0	0.0	15-151	36.0	35.89428818629126	99.80094980085806	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C1M_T05_clean_2	C1M_T05_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3433983.0	0.0	15-151	36.0	45.62922457919703	87.87890126421709	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1M_T10_clean_1	C1M_T10_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3311849.0	0.0	15-151	36.0	35.964367100234064	100.746755664283	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C1M_T10_clean_2	C1M_T10_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3311849.0	0.0	15-151	36.0	42.52234223983051	92.93852527696764	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1M_T15_clean_1	C1M_T15_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3747535.0	0.0	15-151	36.0	34.907388574641466	99.65890912293014	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C1M_T15_clean_2	C1M_T15_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3747535.0	0.0	15-151	36.0	44.69756821348119	87.63565730540209	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C1M_T20_clean_1	C1M_T20_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3845675.0	0.0	15-151	36.0	35.3223111002071	99.13937995280412	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C1M_T20_clean_2	C1M_T20_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3845675.0	0.0	15-151	36.0	47.25720131991746	85.11911328960456	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C2I_T01_clean_1	C2I_T01_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2280986.0	0.0	15-151	36.0	55.07397277210126	90.74985642174042	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
C2I_T01_clean_2	C2I_T01_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2280986.0	0.0	15-151	36.0	57.5384949139628	85.44979846434832	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
C2I_T02_clean_1	C2I_T02_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2445466.0	0.0	15-151	36.0	37.925677609863385	98.08338983244911	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C2I_T02_clean_2	C2I_T02_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2445466.0	0.0	15-151	36.0	49.595332630650375	85.7600093397332	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C2I_T03_clean_1	C2I_T03_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2215001.0	0.0	15-151	36.0	35.06969179254816	97.89817024913307	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C2I_T03_clean_2	C2I_T03_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2215001.0	0.0	15-151	36.0	47.82245013651944	85.89844383817434	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C2I_T04_clean_1	C2I_T04_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1496821.0	0.0	15-151	36.0	47.85681006320782	92.7908373813569	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C2I_T04_clean_2	C2I_T04_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1496821.0	0.0	15-151	36.0	52.56011753601211	87.76156734840038	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
C2I_T05_clean_1	C2I_T05_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2181219.0	0.0	15-151	36.0	40.46104902237779	97.03352024716455	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C2I_T05_clean_2	C2I_T05_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2181219.0	0.0	15-151	36.0	51.46425307289301	84.8330277702514	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
C2I_T10_clean_1	C2I_T10_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2215105.0	0.0	15-151	36.0	38.53269867008421	97.68043230456344	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C2I_T10_clean_2	C2I_T10_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2215105.0	0.0	15-151	36.0	49.6451106087802	86.01511260188569	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C2I_T15_clean_1	C2I_T15_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1861859.0	0.0	15-151	36.0	41.97288553396114	96.39739905116338	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C2I_T15_clean_2	C2I_T15_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1861859.0	0.0	15-151	36.0	48.94510026064356	89.523266799473	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C2I_T20_clean_1	C2I_T20_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4189880.0	0.0	15-151	36.0	25.343615030645893	100.91608924360602	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C2I_T20_clean_2	C2I_T20_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4189880.0	0.0	15-151	36.0	42.06278049004221	85.21029337355723	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C2M_T01_clean_1	C2M_T01_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2934000.0	0.0	15-151	36.0	47.52512410517023	88.20374130879345	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C2M_T01_clean_2	C2M_T01_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2934000.0	0.0	15-151	36.0	47.31954709145324	88.16756066802999	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C2M_T02_clean_1	C2M_T02_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3202189.0	0.0	15-151	36.0	42.955451400138045	97.43399749358954	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C2M_T02_clean_2	C2M_T02_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3202189.0	0.0	15-151	36.0	49.1536795878356	88.5010063428486	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C2M_T03_clean_1	C2M_T03_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2716686.0	0.0	15-151	36.0	35.81089095016334	98.64992236865062	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C2M_T03_clean_2	C2M_T03_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2716686.0	0.0	15-151	36.0	46.028227467164164	88.4342750689627	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C2M_T04_clean_1	C2M_T04_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2198793.0	0.0	15-151	36.0	42.59125161681601	95.75475635951179	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C2M_T04_clean_2	C2M_T04_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2198793.0	0.0	15-151	36.0	44.8192219817689	93.05693942085499	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C2M_T05_clean_1	C2M_T05_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2684522.0	0.0	15-151	36.0	36.99398663382989	99.74141430019944	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C2M_T05_clean_2	C2M_T05_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2684522.0	0.0	15-151	36.0	45.97627949608332	89.78466296793246	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C2M_T10_clean_1	C2M_T10_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2831883.0	0.0	15-151	36.0	37.38770721754955	100.1385548061131	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C2M_T10_clean_2	C2M_T10_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2831883.0	0.0	15-151	36.0	44.74063574535913	91.7113863814289	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C2M_T15_clean_1	C2M_T15_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3404951.0	0.0	15-151	36.0	36.568971617320514	99.47244497791598	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C2M_T15_clean_2	C2M_T15_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3404951.0	0.0	15-151	36.0	46.915949472981694	86.94455045021206	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C2M_T20_clean_1	C2M_T20_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5195956.0	0.0	15-151	36.0	29.427272179338328	100.49790895073015	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C2M_T20_clean_2	C2M_T20_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5195956.0	0.0	15-151	36.0	43.19688584143077	85.68078367099336	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C3I_T01_clean_1	C3I_T01_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3978770.0	0.0	15-151	36.0	51.25000670559706	87.94846221319654	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
C3I_T01_clean_2	C3I_T01_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3978770.0	0.0	15-151	36.0	50.551654022015754	86.35151265340797	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
C3I_T02_clean_1	C3I_T02_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5119438.0	0.0	15-151	36.0	26.248988344753677	99.6238997327441	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C3I_T02_clean_2	C3I_T02_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5119438.0	0.0	15-151	36.0	41.43577702820634	85.28227063204984	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C3I_T03_clean_1	C3I_T03_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3512330.0	0.0	15-151	36.0	25.31212908888671	99.6480697998195	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
C3I_T03_clean_2	C3I_T03_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3512330.0	0.0	15-151	36.0	42.89135924285101	84.47016709705522	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C3I_T04_clean_1	C3I_T04_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3683850.0	0.0	15-151	36.0	32.19669314222599	95.66273952522496	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C3I_T04_clean_2	C3I_T04_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3683850.0	0.0	15-151	36.0	40.30045550280728	88.38261465586275	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C3I_T05_clean_1	C3I_T05_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3731666.0	0.0	15-151	36.0	28.837961157042898	99.70920870195779	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
C3I_T05_clean_2	C3I_T05_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3731666.0	0.0	15-151	36.0	43.85633034907113	85.24961773106168	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C3I_T10_clean_1	C3I_T10_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3273234.0	0.0	15-151	36.0	26.204838202883803	101.27907873375383	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
C3I_T10_clean_2	C3I_T10_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3273234.0	0.0	15-151	36.0	39.10102188515429	90.56864189972363	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
C3I_T15_clean_1	C3I_T15_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4803626.0	0.0	15-151	36.0	32.35291131959134	99.61904611224938	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
