Sample	Unique Reads	Duplicate Reads
C1I_T01_clean_1	1819362.0	1701198.0
C1I_T01_clean_2	1701984.0	1818576.0
C1I_T02_clean_1	1111866.0	3113941.0
C1I_T02_clean_2	1717124.0	2508683.0
C1I_T03_clean_1	893752.0	3128970.0
C1I_T03_clean_2	1522064.0	2500658.0
C1I_T04_clean_1	1054111.0	2107271.0
C1I_T04_clean_2	1284784.0	1876598.0
C1I_T05_clean_1	1027687.0	2628446.0
C1I_T05_clean_2	1565489.0	2090644.0
C1I_T10_clean_1	820800.0	2512371.0
C1I_T10_clean_2	1235506.0	2097665.0
C1I_T15_clean_1	883737.0	2387274.0
C1I_T15_clean_2	1240089.0	2030922.0
C1I_T20_clean_1	1079613.0	3513006.0
C1I_T20_clean_2	1635140.0	2957479.0
C1M_T01_clean_1	1068701.0	1395510.0
C1M_T01_clean_2	1117460.0	1346751.0
C1M_T02_clean_1	1493562.0	2050023.0
C1M_T02_clean_2	1732608.0	1810977.0
C1M_T03_clean_1	1221787.0	2424888.0
C1M_T03_clean_2	1586451.0	2060224.0
C1M_T04_clean_1	1217058.0	1612111.0
C1M_T04_clean_2	1287723.0	1541446.0
C1M_T05_clean_1	1232604.0	2201379.0
C1M_T05_clean_2	1566900.0	1867083.0
C1M_T10_clean_1	1191086.0	2120763.0
C1M_T10_clean_2	1408276.0	1903573.0
C1M_T15_clean_1	1308167.0	2439368.0
C1M_T15_clean_2	1675058.0	2072477.0
C1M_T20_clean_1	1358382.0	2487293.0
C1M_T20_clean_2	1817359.0	2028316.0
C2I_T01_clean_1	1256230.0	1024756.0
C2I_T01_clean_2	1312446.0	968540.0
C2I_T02_clean_1	927460.0	1518006.0
C2I_T02_clean_2	1212837.0	1232629.0
C2I_T03_clean_1	776795.0	1438206.0
C2I_T03_clean_2	1059268.0	1155733.0
C2I_T04_clean_1	716331.0	780490.0
C2I_T04_clean_2	786731.0	710090.0
C2I_T05_clean_1	882545.0	1298674.0
C2I_T05_clean_2	1122549.0	1058670.0
C2I_T10_clean_1	853540.0	1361565.0
C2I_T10_clean_2	1099692.0	1115413.0
C2I_T15_clean_1	781476.0	1080383.0
C2I_T15_clean_2	911289.0	950570.0
C2I_T20_clean_1	1061868.0	3128012.0
C2I_T20_clean_2	1762381.0	2427499.0
C2M_T01_clean_1	1394388.0	1539612.0
C2M_T01_clean_2	1388356.0	1545644.0
C2M_T02_clean_1	1375515.0	1826674.0
C2M_T02_clean_2	1573994.0	1628195.0
C2M_T03_clean_1	972870.0	1743816.0
C2M_T03_clean_2	1250443.0	1466243.0
C2M_T04_clean_1	936494.0	1262299.0
C2M_T04_clean_2	985482.0	1213311.0
C2M_T05_clean_1	993112.0	1691410.0
C2M_T05_clean_2	1234244.0	1450278.0
C2M_T10_clean_1	1058777.0	1773106.0
C2M_T10_clean_2	1267003.0	1564880.0
C2M_T15_clean_1	1245156.0	2159795.0
C2M_T15_clean_2	1597466.0	1807485.0
C2M_T20_clean_1	1529029.0	3666927.0
C2M_T20_clean_2	2244492.0	2951464.0
C3I_T01_clean_1	2039120.0	1939650.0
C3I_T01_clean_2	2011335.0	1967435.0
C3I_T02_clean_1	1343801.0	3775637.0
C3I_T02_clean_2	2121279.0	2998159.0
C3I_T03_clean_1	889046.0	2623284.0
C3I_T03_clean_2	1506487.0	2005843.0
C3I_T04_clean_1	1186078.0	2497772.0
C3I_T04_clean_2	1484609.0	2199241.0
C3I_T05_clean_1	1076137.0	2655529.0
C3I_T05_clean_2	1636572.0	2095094.0
C3I_T10_clean_1	857746.0	2415488.0
C3I_T10_clean_2	1279868.0	1993366.0
C3I_T15_clean_1	1554113.0	3249513.0
C3I_T15_clean_2	2134777.0	2668849.0
C3I_T20_clean_1	1104584.0	2310951.0
C3I_T20_clean_2	1417416.0	1998119.0
C3M_T01_clean_1	2032348.0	1598234.0
C3M_T01_clean_2	1762203.0	1868379.0
C3M_T02_clean_1	1428681.0	2857547.0
C3M_T02_clean_2	2125024.0	2161204.0
C3M_T03_clean_1	1751475.0	2458436.0
C3M_T03_clean_2	2362290.0	1847621.0
C3M_T04_clean_1	1296318.0	2314229.0
C3M_T04_clean_2	1635648.0	1974899.0
C3M_T05_clean_1	1189398.0	2729788.0
C3M_T05_clean_2	1872848.0	2046338.0
C3M_T10_clean_1	1340455.0	2508844.0
C3M_T10_clean_2	1874923.0	1974376.0
C3M_T15_clean_1	1250824.0	3438373.0
C3M_T15_clean_2	2182244.0	2506953.0
C3M_T20_clean_1	1104251.0	2802074.0
C3M_T20_clean_2	1756921.0	2149404.0
Host_DP05_rep1_clean_1	2387783.0	1181291.0
Host_DP05_rep1_clean_2	2678624.0	890450.0
Host_DP05_rep2_clean_1	2336806.0	1117242.0
Host_DP05_rep2_clean_2	2623387.0	830661.0
Host_DP05_rep3_clean_1	3051261.0	1794211.0
