Sample	Unique Reads	Duplicate Reads
C1I_T01_1	1018197.0	2762893.0
C1I_T01_2	1046065.0	2735025.0
C1I_T02_1	828600.0	3730963.0
C1I_T02_2	929035.0	3630528.0
C1I_T03_1	686890.0	3675882.0
C1I_T03_2	787162.0	3575610.0
C1I_T04_1	646240.0	2763046.0
C1I_T04_2	690531.0	2718755.0
C1I_T05_1	788500.0	3159136.0
C1I_T05_2	874251.0	3073385.0
C1I_T10_1	612805.0	2973113.0
C1I_T10_2	649817.0	2936101.0
C1I_T15_1	648250.0	2866523.0
C1I_T15_2	680254.0	2834519.0
C1I_T20_1	851940.0	4074858.0
C1I_T20_2	905556.0	4021242.0
C1M_T01_1	592333.0	2049386.0
C1M_T01_2	621998.0	2019721.0
C1M_T02_1	1040765.0	2760536.0
C1M_T02_2	1127591.0	2673710.0
C1M_T03_1	967581.0	2970695.0
C1M_T03_2	1051703.0	2886573.0
C1M_T04_1	856044.0	2172918.0
C1M_T04_2	879595.0	2149367.0
C1M_T05_1	966182.0	2742475.0
C1M_T05_2	1048924.0	2659733.0
C1M_T10_1	961622.0	2570611.0
C1M_T10_2	991858.0	2540375.0
C1M_T15_1	1023960.0	3036919.0
C1M_T15_2	1118547.0	2942332.0
C1M_T20_1	1058109.0	3118181.0
C1M_T20_2	1185441.0	2990849.0
C2I_T01_1	803587.0	1676768.0
C2I_T01_2	850481.0	1629874.0
C2I_T02_1	590465.0	2059470.0
C2I_T02_2	658918.0	1991017.0
C2I_T03_1	481813.0	1931153.0
C2I_T03_2	555052.0	1857914.0
C2I_T04_1	409075.0	1209456.0
C2I_T04_2	427719.0	1190812.0
C2I_T05_1	557085.0	1813759.0
C2I_T05_2	621086.0	1749758.0
C2I_T10_1	550316.0	1853313.0
C2I_T10_2	613336.0	1790293.0
C2I_T15_1	515420.0	1495427.0
C2I_T15_2	536441.0	1474406.0
C2I_T20_1	851367.0	3703787.0
C2I_T20_2	996523.0	3558631.0
C2M_T01_1	787155.0	2393507.0
C2M_T01_2	816999.0	2363663.0
C2M_T02_1	992325.0	2460667.0
C2M_T02_2	1059814.0	2393178.0
C2M_T03_1	720371.0	2228597.0
C2M_T03_2	788006.0	2160962.0
C2M_T04_1	650081.0	1709854.0
C2M_T04_2	657667.0	1702268.0
C2M_T05_1	762759.0	2124998.0
C2M_T05_2	801882.0	2085875.0
C2M_T10_1	829308.0	2212673.0
C2M_T10_2	865259.0	2176722.0
C2M_T15_1	970067.0	2739747.0
C2M_T15_2	1063660.0	2646154.0
C2M_T20_1	1308863.0	4348816.0
C2M_T20_2	1464759.0	4192920.0
C3I_T01_1	1224659.0	3077336.0
C3I_T01_2	1286001.0	3015994.0
C3I_T02_1	993005.0	4543722.0
C3I_T02_2	1146774.0	4389953.0
C3I_T03_1	633911.0	3211434.0
C3I_T03_2	754969.0	3090376.0
C3I_T04_1	770130.0	3204219.0
C3I_T04_2	822892.0	3151457.0
C3I_T05_1	806270.0	3252161.0
C3I_T05_2	923175.0	3135256.0
C3I_T10_1	650667.0	2859388.0
C3I_T10_2	693527.0	2816528.0
C3I_T15_1	1235746.0	3970450.0
C3I_T15_2	1359804.0	3846392.0
C3I_T20_1	721511.0	2969801.0
C3I_T20_2	785490.0	2905822.0
C3M_T01_1	854073.0	3059268.0
C3M_T01_2	859434.0	3053907.0
C3M_T02_1	1147398.0	3523688.0
C3M_T02_2	1324989.0	3346097.0
C3M_T03_1	1313357.0	3358897.0
C3M_T03_2	1532493.0	3139761.0
C3M_T04_1	913070.0	3001514.0
C3M_T04_2	992716.0	2921868.0
C3M_T05_1	968775.0	3268626.0
C3M_T05_2	1101389.0	3136012.0
C3M_T10_1	1064942.0	3106926.0
C3M_T10_2	1175566.0	2996302.0
C3M_T15_1	936329.0	4218165.0
C3M_T15_2	1152536.0	4001958.0
C3M_T20_1	786779.0	3472616.0
C3M_T20_2	933093.0	3326302.0
Host_DP05_rep1_1	1527241.0	2404463.0
Host_DP05_rep1_2	1650089.0	2281615.0
Host_DP05_rep2_1	1500906.0	2283997.0
Host_DP05_rep2_2	1628469.0	2156434.0
Host_DP05_rep3_1	1793570.0	3490377.0
Host_DP05_rep3_2	1959682.0	3324265.0
Host_DP12_rep1_1	1765361.0	3445286.0
Host_DP12_rep1_2	1914057.0	3296590.0
Host_DP12_rep2_1	1558543.0	2509369.0
Host_DP12_rep2_2	1694443.0	2373469.0
Host_DP12_rep3_1	1708770.0	3134556.0
Host_DP12_rep3_2	1890546.0	2952780.0
Host_DP15_rep1_1	1667094.0	2694499.0
Host_DP15_rep1_2	1811608.0	2549985.0
Host_DP15_rep2_1	1930439.0	3779105.0
Host_DP15_rep2_2	2134649.0	3574895.0
Host_DP15_rep3_1	1899339.0	3649006.0
Host_DP15_rep3_2	2099156.0	3449189.0
Host_Mix_rep1_1	2153423.0	4457244.0
Host_Mix_rep1_2	2354763.0	4255904.0
Host_Mix_rep2_1	1781909.0	2820101.0
Host_Mix_rep2_2	2152973.0	2449037.0
Host_Mix_rep3_1	1922766.0	3610018.0
Host_Mix_rep3_2	2146171.0	3386613.0
Phage_Bill_rep1_1	501203.0	3750329.0
Phage_Bill_rep1_2	582582.0	3668950.0
Phage_Bill_rep2_1	430532.0	3346836.0
Phage_Bill_rep2_2	565219.0	3212149.0
Phage_Bill_rep3_1	526858.0	4913214.0
Phage_Bill_rep3_2	694155.0	4745917.0
Phage_Bob_rep1_1	557627.0	4213257.0
Phage_Bob_rep1_2	628967.0	4141917.0
Phage_Bob_rep2_1	604039.0	4660951.0
Phage_Bob_rep2_2	716090.0	4548900.0
Phage_Bob_rep3_1	583599.0	4456512.0
Phage_Bob_rep3_2	694107.0	4346004.0
Phage_CCS4_rep1_1	1180975.0	3924225.0
Phage_CCS4_rep1_2	1286380.0	3818820.0
Phage_CCS4_rep2_1	952233.0	2790580.0
Phage_CCS4_rep2_2	1014794.0	2728019.0
Phage_CCS4_rep3_1	1128140.0	3574703.0
Phage_CCS4_rep3_2	1250643.0	3452200.0
Phage_Car_rep1_1	873956.0	3883178.0
Phage_Car_rep1_2	967594.0	3789540.0
Phage_Car_rep2_1	788626.0	3558436.0
Phage_Car_rep2_2	878324.0	3468738.0
Phage_Car_rep3_1	889743.0	3890665.0
Phage_Car_rep3_2	983632.0	3796776.0
Phage_Cousins_rep1_1	986514.0	3984202.0
Phage_Cousins_rep1_2	1085439.0	3885277.0
Phage_Cousins_rep2_1	581544.0	1918069.0
Phage_Cousins_rep2_2	586128.0	1913485.0
Phage_Cousins_rep3_1	843764.0	3742662.0
Phage_Cousins_rep3_2	963205.0	3623221.0
Phage_DP15_C1I_T20_1	1489613.0	3318104.0
Phage_DP15_C1I_T20_2	1611640.0	3196077.0
Phage_DP15_C1M_T20_1	1634956.0	3423947.0
Phage_DP15_C1M_T20_2	1738674.0	3320229.0
Phage_DP15_C2I_T20_1	1875336.0	3310792.0
Phage_DP15_C2I_T20_2	2075260.0	3110868.0
Phage_DP15_C2M_T20_1	1341115.0	3542428.0
Phage_DP15_C2M_T20_2	1488156.0	3395387.0
Phage_DP15_C3I_T20_1	1446680.0	1784505.0
Phage_DP15_C3I_T20_2	1492247.0	1738938.0
Phage_DP15_C3M_T20_1	1255584.0	2727021.0
Phage_DP15_C3M_T20_2	1406329.0	2576276.0
Phage_DP15_S1I_T20_1	1691798.0	4082917.0
Phage_DP15_S1I_T20_2	1884493.0	3890222.0
Phage_DP15_S1M_T20_1	1378452.0	2523434.0
Phage_DP15_S1M_T20_2	1538960.0	2362926.0
Phage_DP15_S2I_T20_1	1721442.0	3221909.0
Phage_DP15_S2I_T20_2	1907926.0	3035425.0
Phage_DP15_S2M_T20_1	1452451.0	2938072.0
Phage_DP15_S2M_T20_2	1593036.0	2797487.0
Phage_DP15_S3I_T20_1	1219407.0	2542127.0
Phage_DP15_S3I_T20_2	1343538.0	2417996.0
Phage_DP15_S3M_T20_1	1966047.0	4204997.0
Phage_DP15_S3M_T20_2	2170815.0	4000229.0
Phage_Sisters_rep1_1	978406.0	3791199.0
Phage_Sisters_rep1_2	1057007.0	3712598.0
Phage_Sisters_rep2_1	891705.0	3448910.0
Phage_Sisters_rep2_2	974788.0	3365827.0
Phage_Sisters_rep3_1	931746.0	3752286.0
Phage_Sisters_rep3_2	1032726.0	3651306.0
Phage_Ump_rep1_1	235757.0	3007309.0
Phage_Ump_rep1_2	315678.0	2927388.0
Phage_Ump_rep2_1	217623.0	2521025.0
Phage_Ump_rep2_2	296158.0	2442490.0
Phage_Ump_rep3_1	283691.0	4239054.0
Phage_Ump_rep3_2	400480.0	4122265.0
S1I_T01_1	1475777.0	2169632.0
S1I_T01_2	1490925.0	2154484.0
S1I_T02_1	1265180.0	3969841.0
S1I_T02_2	1391269.0	3843752.0
S1I_T03_1	760587.0	3933658.0
S1I_T03_2	899636.0	3794609.0
S1I_T04_1	217255.0	581138.0
S1I_T04_2	213407.0	584986.0
S1I_T05_1	414737.0	1900989.0
S1I_T05_2	421936.0	1893790.0
S1I_T10_1	490266.0	2566487.0
S1I_T10_2	510315.0	2546438.0
S1I_T15_1	1076015.0	4571516.0
S1I_T15_2	1237332.0	4410199.0
S1I_T20_1	884914.0	3925172.0
S1I_T20_2	1029519.0	3780567.0
S1M_T01_1	941006.0	1470612.0
S1M_T01_2	938442.0	1473176.0
S1M_T02_1	1197158.0	2365232.0
S1M_T02_2	1265488.0	2296902.0
S1M_T03_1	1050648.0	2086606.0
S1M_T03_2	1120680.0	2016574.0
S1M_T04_1	893025.0	1704143.0
S1M_T04_2	908151.0	1689017.0
S1M_T05_1	846204.0	1912817.0
S1M_T05_2	934159.0	1824862.0
S1M_T10_1	781230.0	2226074.0
S1M_T10_2	809657.0	2197647.0
S1M_T15_1	1020610.0	2709460.0
S1M_T15_2	1126835.0	2603235.0
S1M_T20_1	996927.0	2489554.0
S1M_T20_2	1071744.0	2414737.0
S2I_T01_1	1303381.0	2450168.0
S2I_T01_2	1417770.0	2335779.0
S2I_T02_1	880965.0	3832528.0
S2I_T02_2	1060950.0	3652543.0
S2I_T03_1	578776.0	3634679.0
S2I_T03_2	735050.0	3478405.0
S2I_T04_1	686085.0	2931627.0
S2I_T04_2	770886.0	2846826.0
S2I_T05_1	689511.0	3186047.0
S2I_T05_2	853721.0	3021837.0
S2I_T10_1	596413.0	2860133.0
S2I_T10_2	682121.0	2774425.0
S2I_T15_1	937325.0	5104290.0
S2I_T15_2	1160081.0	4881534.0
S2I_T20_1	671146.0	3030701.0
S2I_T20_2	727168.0	2974679.0
S2M_T01_1	1277588.0	1754160.0
S2M_T01_2	1226855.0	1804893.0
S2M_T02_1	1000585.0	2777381.0
S2M_T02_2	1091710.0	2686256.0
S2M_T03_1	1207542.0	2800882.0
S2M_T03_2	1312483.0	2695941.0
S2M_T04_1	727801.0	2193347.0
S2M_T04_2	764896.0	2156252.0
S2M_T05_1	1152465.0	2573653.0
S2M_T05_2	1431676.0	2294442.0
S2M_T10_1	754616.0	2112678.0
S2M_T10_2	780022.0	2087272.0
S2M_T15_1	812777.0	1820950.0
S2M_T15_2	1564837.0	1068890.0
S2M_T20_1	272360.0	295619.0
S2M_T20_2	272507.0	295472.0
S3I_T01_1	1533845.0	2279696.0
S3I_T01_2	1565408.0	2248133.0
S3I_T02_1	873028.0	4211057.0
S3I_T02_2	994294.0	4089791.0
S3I_T03_1	819177.0	3710432.0
S3I_T03_2	933069.0	3596540.0
S3I_T04_1	1168699.0	2514341.0
S3I_T04_2	1202469.0	2480571.0
S3I_T05_1	659803.0	3687301.0
S3I_T05_2	795125.0	3551979.0
S3I_T10_1	704689.0	3756077.0
S3I_T10_2	790099.0	3670667.0
S3I_T15_1	583577.0	2680090.0
S3I_T15_2	616882.0	2646785.0
S3I_T20_1	815760.0	4001495.0
S3I_T20_2	928913.0	3888342.0
S3M_T01_1	1211982.0	2505105.0
S3M_T01_2	1258473.0	2458614.0
S3M_T02_1	1237907.0	3459455.0
S3M_T02_2	1393936.0	3303426.0
S3M_T03_1	1380911.0	3101465.0
S3M_T03_2	1541402.0	2940974.0
S3M_T04_1	897435.0	2249838.0
S3M_T04_2	955643.0	2191630.0
S3M_T05_1	1192028.0	3494097.0
S3M_T05_2	1354916.0	3331209.0
S3M_T10_1	1207560.0	3223015.0
S3M_T10_2	1318833.0	3111742.0
S3M_T15_1	1154997.0	1906180.0
S3M_T15_2	1191743.0	1869434.0
S3M_T20_1	1209342.0	3198324.0
S3M_T20_2	1343387.0	3064279.0
