Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
C1I_T01_1	C1I_T01_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3781090.0	0.0	151.0	37.0	26.92865522524058	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1I_T01_2	C1I_T01_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3781090.0	0.0	151.0	37.0	27.665689704548726	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1I_T02_1	C1I_T02_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4559563.0	0.0	151.0	37.0	18.17278731804059	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1I_T02_2	C1I_T02_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4559563.0	0.0	151.0	37.0	20.375509484432026	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1I_T03_1	C1I_T03_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4362772.0	0.0	151.0	37.0	15.744331066628941	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1I_T03_2	C1I_T03_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4362772.0	0.0	151.0	37.0	18.042699179303863	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1I_T04_1	C1I_T04_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3409286.0	0.0	151.0	37.0	18.95526034292345	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1I_T04_2	C1I_T04_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3409286.0	0.0	151.0	37.0	20.254393978709818	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
C1I_T05_1	C1I_T05_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3947636.0	0.0	151.0	37.0	19.973976159701532	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1I_T05_2	C1I_T05_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3947636.0	0.0	151.0	37.0	22.14617352051662	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1I_T10_1	C1I_T10_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3585918.0	0.0	151.0	37.0	17.089206808216954	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1I_T10_2	C1I_T10_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3585918.0	0.0	151.0	37.0	18.121353041978246	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1I_T15_1	C1I_T15_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3514773.0	0.0	151.0	37.0	18.44356003326565	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1I_T15_2	C1I_T15_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3514773.0	0.0	151.0	37.0	19.354116981677265	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1I_T20_1	C1I_T20_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4926798.0	0.0	151.0	37.0	17.291947729587502	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1I_T20_2	C1I_T20_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4926798.0	0.0	151.0	37.0	18.38019893417837	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T01_1	C1M_T01_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2641719.0	0.0	151.0	37.0	22.422251180939988	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T01_2	C1M_T01_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2641719.0	0.0	151.0	37.0	23.54516415703073	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T02_1	C1M_T02_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3801301.0	0.0	151.0	37.0	27.379173578073697	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T02_2	C1M_T02_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3801301.0	0.0	151.0	37.0	29.66327920494608	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T03_1	C1M_T03_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3938276.0	0.0	151.0	37.0	24.56862173408386	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T03_2	C1M_T03_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3938276.0	0.0	151.0	37.0	26.704647407509913	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T04_1	C1M_T04_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3028962.0	0.0	151.0	37.0	28.261940893658704	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T04_2	C1M_T04_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3028962.0	0.0	151.0	37.0	29.039480557500646	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T05_1	C1M_T05_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3708657.0	0.0	151.0	37.0	26.052062849470907	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
C1M_T05_2	C1M_T05_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3708657.0	0.0	151.0	37.0	28.283119623101737	151.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
