Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
C1I_T01_1	73.07134477475942	37.0	151.0	27.27272727272727	3781090.0
C1I_T01_2	72.33431029545127	37.0	151.0	27.27272727272727	3781090.0
C1I_T02_1	81.82721268195941	37.0	151.0	27.27272727272727	4559563.0
C1I_T02_2	79.62449051556797	37.0	151.0	27.27272727272727	4559563.0
C1I_T03_1	84.25566893337106	37.0	151.0	27.27272727272727	4362772.0
C1I_T03_2	81.95730082069613	37.0	151.0	27.27272727272727	4362772.0
C1I_T04_1	81.04473965707655	37.0	151.0	27.27272727272727	3409286.0
C1I_T04_2	79.74560602129019	37.0	151.0	27.27272727272727	3409286.0
C1I_T05_1	80.02602384029846	37.0	151.0	27.27272727272727	3947636.0
C1I_T05_2	77.85382647948339	37.0	151.0	27.27272727272727	3947636.0
C1I_T10_1	82.91079319178304	37.0	151.0	27.27272727272727	3585918.0
C1I_T10_2	81.87864695802176	37.0	151.0	27.27272727272727	3585918.0
C1I_T15_1	81.55643996673435	37.0	151.0	27.27272727272727	3514773.0
C1I_T15_2	80.64588301832273	37.0	151.0	27.27272727272727	3514773.0
C1I_T20_1	82.7080522704125	37.0	151.0	27.27272727272727	4926798.0
C1I_T20_2	81.61980106582163	37.0	151.0	27.27272727272727	4926798.0
C1M_T01_1	77.57774881906002	37.0	151.0	27.27272727272727	2641719.0
C1M_T01_2	76.45483584296927	37.0	151.0	27.27272727272727	2641719.0
C1M_T02_1	72.6208264219263	37.0	151.0	27.27272727272727	3801301.0
C1M_T02_2	70.33672079505392	37.0	151.0	27.27272727272727	3801301.0
C1M_T03_1	75.43137826591614	37.0	151.0	27.27272727272727	3938276.0
C1M_T03_2	73.29535259249009	37.0	151.0	27.27272727272727	3938276.0
C1M_T04_1	71.7380591063413	37.0	151.0	27.27272727272727	3028962.0
C1M_T04_2	70.96051944249936	37.0	151.0	27.27272727272727	3028962.0
C1M_T05_1	73.9479371505291	37.0	151.0	27.27272727272727	3708657.0
C1M_T05_2	71.71688037689826	37.0	151.0	27.27272727272727	3708657.0
C1M_T10_1	72.77580960264036	37.0	151.0	27.27272727272727	3532233.0
C1M_T10_2	71.91981890172806	37.0	151.0	27.27272727272727	3532233.0
C1M_T15_1	74.78478922248705	37.0	151.0	27.27272727272727	4060879.0
C1M_T15_2	72.45554744776753	37.0	151.0	27.27272727272727	4060879.0
C1M_T20_1	74.66391666763354	37.0	151.0	27.27272727272727	4176290.0
C1M_T20_2	71.61498176937693	37.0	151.0	27.27272727272727	4176290.0
C2I_T01_1	67.60195750814731	37.0	151.0	27.27272727272727	2480355.0
C2I_T01_2	65.71133643215597	37.0	151.0	27.27272727272727	2480355.0
C2I_T02_1	77.71777597891405	37.0	151.0	27.27272727272727	2649935.0
C2I_T02_2	75.13459712521565	37.0	151.0	27.27272727272727	2649935.0
C2I_T03_1	80.0323624016784	37.0	151.0	27.27272727272727	2412966.0
C2I_T03_2	76.99714035971874	37.0	151.0	27.27272727272727	2412966.0
C2I_T04_1	74.7255631078864	37.0	151.0	27.27272727272727	1618531.0
C2I_T04_2	73.57367541255104	37.0	151.0	27.27272727272727	1618531.0
C2I_T05_1	76.50270638202562	37.0	151.0	27.27272727272727	2370844.0
C2I_T05_2	73.80317528526572	37.0	151.0	27.27272727272727	2370844.0
C2I_T10_1	77.1047936079473	37.0	151.0	27.27272727272727	2403629.0
C2I_T10_2	74.48293479845131	37.0	151.0	27.27272727272727	2403629.0
C2I_T15_1	74.36803279415305	38.0	151.0	27.27272727272727	2010847.0
C2I_T15_2	73.32267992985065	37.0	151.0	27.27272727272727	2010847.0
C2I_T20_1	81.30982340527483	37.0	151.0	27.27272727272727	4555154.0
C2I_T20_2	78.12319716029313	37.0	151.0	27.27272727272727	4555154.0
C2M_T01_1	75.25188124797317	37.0	151.0	27.27272727272727	3180662.0
C2M_T01_2	74.31355813102462	37.0	151.0	27.27272727272727	3180662.0
C2M_T02_1	71.26189216158674	37.0	151.0	27.27272727272727	3452992.0
C2M_T02_2	69.30737241581879	37.0	151.0	27.27272727272727	3452992.0
C2M_T03_1	75.57212084359801	37.0	151.0	27.27272727272727	2948968.0
