Name	Minimum	Maximum	Direction	Track Name
Hypothetical protein	1	270	forward	Hypothetical
Phage protein	291	569	forward	Hypothetical
Phage protein	573	1001	forward	Hypothetical
"Terminase, large subunit"	1001	1288	forward	Annotated
Phage protein	1939	2898	forward	Hypothetical
"Terminase, large subunit"	2929	3159	forward	Annotated
Hypothetical protein	3374	4168	forward	Hypothetical
"Terminase, large subunit"	4317	4793	forward	Annotated
"Terminase, large subunit"	5121	5267	forward	Annotated
Phage protein	5509	6432	forward	Hypothetical
"Terminase, large subunit"	6571	7170	forward	Annotated
Phage protein	7270	8058	forward	Hypothetical
Phage protein	8163	8879	forward	Hypothetical
Hypothetical protein	8869	9213	forward	Hypothetical
N-acetylmuramoyl-L-alanine amidase	9308	10177	forward	Annotated
Aggregation promoting factor	10344	10982	forward	Annotated
Phage protein	11124	11468	forward	Hypothetical
Phage protein	11483	13204	forward	Hypothetical
Hypothetical protein	13214	13327	forward	Hypothetical
Phage protein	13314	14105	forward	Hypothetical
Hypothetical protein	14112	15065	forward	Hypothetical
Major capsid protein of Caudovirales	15206	16606	forward	Annotated
Hypothetical protein	16705	16968	forward	Hypothetical
Phage protein	16981	17880	forward	Hypothetical
Phage protein	17900	18769	forward	Hypothetical
Phage protein	18762	19385	forward	Hypothetical
Phage protein	19389	20234	forward	Hypothetical
Phage protein	20234	20467	forward	Hypothetical
Tail sheath	20471	22180	forward	Annotated
Phage protein	22241	22633	forward	Hypothetical
Hypothetical protein	23134	24240	forward	Hypothetical
Hypothetical protein	24237	24383	forward	Hypothetical
Phage protein	24520	24993	forward	Hypothetical
Phage protein	25061	25636	forward	Hypothetical
Tail tape measure	25681	29337	forward	Annotated
Secretory antigen SsaA-like protein	29376	32561	forward	Annotated
Glycerophosphoryl diester phosphodiesterase	32647	38124	forward	Annotated
Capsid and scaffold	38224	40446	forward	Annotated
Capsid and scaffold	40470	40634	forward	Annotated
Hypothetical protein	40628	41353	forward	Hypothetical
Hypothetical protein	41385	41531	forward	Hypothetical
Phage protein	41668	42357	forward	Hypothetical
Phage protein	42361	42897	forward	Hypothetical
Baseplate assembly protein	42884	43588	forward	Annotated
