Name	Minimum	Maximum	Direction	Track Name
hypothetical protein CDS	1	600	forward	Hypothetical CDS
hypothetical protein CDS	614	958	forward	Hypothetical CDS
hypothetical protein CDS	977	1225	forward	Hypothetical CDS
Phage terminase, large subunit [SA bacteriophages 11, Mu50B] CDS	1288	2559	forward	Annotated CDS
phage portal protein CDS	2616	4151	forward	Annotated CDS
hypothetical protein CDS	4163	4918	forward	Hypothetical CDS
hypothetical protein CDS	5029	5703	forward	Hypothetical CDS
hypothetical protein CDS	5752	6558	forward	Hypothetical CDS
major tail protein CDS	6713	7153	forward	Annotated CDS
hypothetical protein CDS	7213	7617	forward	Hypothetical CDS
hypothetical protein CDS	7633	8010	forward	Hypothetical CDS
hypothetical protein CDS	7995	8375	forward	Hypothetical CDS
phage tail protein CDS	8388	8822	forward	Annotated CDS
major tail protein CDS	8843	9532	forward	Annotated CDS
hypothetical protein CDS	9676	10116	forward	Hypothetical CDS
hypothetical protein CDS	10127	10351	forward	Hypothetical CDS
minor capsid protein CDS	10364	13249	forward	Annotated CDS
hypothetical protein CDS	13263	17255	forward	Hypothetical CDS
phage minor structural protein CDS	17268	20294	forward	Annotated CDS
hypothetical protein CDS	20308	20595	forward	Hypothetical CDS
N-acetylmuramoyl-L-alanine amidase CDS	20642	21355	forward	Annotated CDS
hypothetical protein CDS	21639	22067	reverse	Hypothetical CDS
hypothetical protein CDS	22136	22279	forward	Hypothetical CDS
hypothetical protein CDS	22578	23402	forward	Hypothetical CDS
hypothetical protein CDS	23455	23889	forward	Hypothetical CDS
hypothetical protein CDS	23892	24278	forward	Hypothetical CDS
hypothetical protein CDS	24278	24478	forward	Hypothetical CDS
tRNA-Trp-CCA	24537	24608	forward	tRNA
hypothetical protein CDS	24638	24763	forward	Hypothetical CDS
hypothetical protein CDS	25709	25855	forward	Hypothetical CDS
Phage protein CDS	25858	26100	forward	Hypothetical CDS
hypothetical protein CDS	26100	26351	forward	Hypothetical CDS
conserved hypothetical protein CDS	26351	26671	forward	Annotated CDS
hypothetical protein CDS	26671	26859	forward	Hypothetical CDS
hypothetical protein CDS	26871	27083	forward	Hypothetical CDS
