Name	Minimum	Maximum	Direction	Track Name
hypothetical protein CDS	1	270	forward	Hypothetical CDS
Phage protein (ACLAME 1478) CDS	290	568	forward	Hypothetical CDS
Phage protein (ACLAME 1542) CDS	573	1001	forward	Hypothetical CDS
Phage terminase, large subunit CDS	1001	2836	forward	Annotated CDS
Phage protein CDS	3080	3925	forward	Hypothetical CDS
Phage protein CDS	3922	4749	forward	Hypothetical CDS
hypothetical protein CDS	4750	5106	forward	Hypothetical CDS
Phage N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) CDS	5209	6465	forward	Annotated CDS
Aggregation promoting factor CDS	6623	7231	forward	Annotated CDS
hypothetical protein CDS	7335	8279	forward	Hypothetical CDS
Phage protein CDS	8409	8753	forward	Hypothetical CDS
Phage protein CDS	8770	10458	forward	Hypothetical CDS
Phage protein CDS	10558	11346	forward	Hypothetical CDS
hypothetical protein CDS	11346	12365	forward	Hypothetical CDS
Phage major capsid protein of Caudovirales CDS	12488	13909	forward	Annotated CDS
hypothetical protein CDS	14007	14258	forward	Hypothetical CDS
Phage protein CDS	14270	15166	forward	Hypothetical CDS
Phage protein CDS	15180	16052	forward	Hypothetical CDS
Phage protein CDS	16045	16668	forward	Hypothetical CDS
Phage protein CDS	16672	17517	forward	Hypothetical CDS
Phage protein CDS	17517	17756	forward	Hypothetical CDS
Phage tail sheath CDS	17760	19469	forward	Annotated CDS
Phage protein CDS	19535	19957	forward	Hypothetical CDS
hypothetical protein CDS	20048	21160	forward	Hypothetical CDS
Phage protein CDS	21416	21889	forward	Hypothetical CDS
Phage protein CDS	21945	22538	forward	Hypothetical CDS
Phage tail tape measure CDS	22586	26242	forward	Annotated CDS
Secretory antigen SsaA-like protein CDS	26292	28808	forward	Annotated CDS
Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46), phage variant CDS	28907	35512	forward	Annotated CDS
Phage capsid and scaffold CDS	35601	38015	forward	Annotated CDS
hypothetical protein CDS	38030	38758	forward	Hypothetical CDS
hypothetical protein CDS	38777	38923	forward	Hypothetical CDS
Phage protein CDS	39078	39779	forward	Hypothetical CDS
Phage protein CDS	39779	40315	forward	Hypothetical CDS
Phage baseplate assembly protein CDS	40302	41006	forward	Annotated CDS
Phage baseplate CDS	41021	42073	forward	Annotated CDS
Phage protein CDS	42085	44505	forward	Hypothetical CDS
Phage protein CDS	44601	45146	forward	Hypothetical CDS
Phage virulence-associated protein CDS	45163	48621	forward	Annotated CDS
hypothetical protein CDS	48699	48905	forward	Hypothetical CDS
Phage DNA helicase CDS	49099	50874	forward	Annotated CDS
hypothetical protein CDS	50890	52533	forward	Hypothetical CDS
Phage DNA helicase CDS	52547	54019	forward	Annotated CDS
Phage recombination exonuclease CDS	54019	55059	forward	Annotated CDS
hypothetical protein CDS	55062	55319	forward	Hypothetical CDS
Phage recombination related exonuclease (EC 3.1.11.-) CDS	55431	57323	forward	Annotated CDS
Phage protein CDS	57337	57996	forward	Hypothetical CDS
