Name	Minimum	Maximum	Direction	Track Name
Hypothetical protein	1	270	forward	Hypothetical
Phage protein	291	569	forward	Hypothetical
Phage protein	573	1001	forward	Hypothetical
"Terminase, large subunit"	1001	2062	forward	Annotated
Hypothetical protein	2308	3246	forward	Hypothetical
"Terminase, large subunit"	3357	4121	forward	Annotated
Phage protein	4221	5009	forward	Hypothetical
Phage protein	5114	5830	forward	Hypothetical
Hypothetical protein	5820	6164	forward	Hypothetical
N-acetylmuramoyl-L-alanine amidase	6258	7127	forward	Annotated
Aggregation promoting factor	7294	7932	forward	Annotated
Phage protein	8074	8418	forward	Hypothetical
Phage protein	8433	10157	forward	Hypothetical
Hypothetical protein	10164	10277	forward	Hypothetical
Phage protein	10264	11055	forward	Hypothetical
Hypothetical protein	11062	11988	forward	Hypothetical
Major capsid protein of Caudovirales	12129	13523	forward	Annotated
Hypothetical protein	13628	13891	forward	Hypothetical
Phage protein	13904	14803	forward	Hypothetical
Phage protein	14821	15690	forward	Hypothetical
Phage protein	15683	16306	forward	Hypothetical
Phage protein	16310	17155	forward	Hypothetical
Phage protein	17155	17388	forward	Hypothetical
Tail sheath	17392	19101	forward	Annotated
Phage protein	19162	19584	forward	Hypothetical
Hypothetical protein	19708	20544	forward	Hypothetical
Hypothetical protein	20558	20704	forward	Hypothetical
Phage protein	20841	21314	forward	Hypothetical
Phage protein	21382	21957	forward	Hypothetical
Tail tape measure	22002	25646	forward	Annotated
Secretory antigen SsaA-like protein	25685	28870	forward	Annotated
Glycerophosphoryl diester phosphodiesterase	28956	34433	forward	Annotated
Capsid and scaffold	34533	36944	forward	Annotated
Hypothetical protein	36938	37663	forward	Hypothetical
Hypothetical protein	37695	37841	forward	Hypothetical
Phage protein	37978	38667	forward	Hypothetical
Phage protein	38671	39207	forward	Hypothetical
Baseplate assembly protein	39194	39898	forward	Annotated
Baseplate	39914	40966	forward	Annotated
Phage protein	40985	42385	forward	Hypothetical
Phage protein	42491	43036	forward	Hypothetical
Virulence-associated protein	43051	46515	forward	Annotated
Phage protein	46612	47565	forward	Hypothetical
Hypothetical protein	47642	47848	forward	Hypothetical
DNA helicase	48103	49875	forward	Annotated
